id,symbol,seqnames,strand,TSS,CAGE_representative_TSS,type
ENSG00000004487,KDM1A,chr1,+,23019448,23019468,protein_coding
ENSG00000004534,RBM6,chr3,+,49940007,49940152,protein_coding
ENSG00000004660,CAMKK1,chr17,-,3894891,3893053,protein_coding
ENSG00000004700,RECQL,chr12,-,21501669,21501595,protein_coding
ENSG00000004766,VPS50,chr7,+,93232340,93232366,protein_coding
ENSG00000004776,HSPB6,chr19,-,35758079,35757029,protein_coding
ENSG00000004777,ARHGAP33,chr19,+,35774532,35775564,protein_coding
ENSG00000004779,NDUFAB1,chr16,-,23596356,23596316,protein_coding
ENSG00000004799,PDK4,chr7,-,95596491,95596516,protein_coding
ENSG00000004809,SLC22A16,chr6,-,110476641,110476612,protein_coding
ENSG00000004838,ZMYND10,chr3,-,50346852,50345732,protein_coding
ENSG00000004846,ABCB5,chr7,+,20615207,20647330,protein_coding
ENSG00000004848,ARX,chrX,-,25015948,25015962,protein_coding
ENSG00000004864,SLC25A13,chr7,-,96322147,96322068,protein_coding
ENSG00000004866,ST7,chr7,+,116953238,116953501,protein_coding
ENSG00000004897,CDC27,chr17,-,47189422,47189271,protein_coding
ENSG00000004939,SLC4A1,chr17,-,44268141,44268135,protein_coding
ENSG00000004948,CALCR,chr7,-,93574730,93574724,protein_coding
ENSG00000004961,HCCS,chrX,+,11111301,11111332,protein_coding
ENSG00000004975,DVL2,chr17,-,7234545,7234517,protein_coding
ENSG00000005001,PRSS22,chr16,-,2858170,2858170,protein_coding
ENSG00000005007,UPF1,chr19,+,18831938,18831959,protein_coding
ENSG00000005020,SKAP2,chr7,-,26995239,26864590,protein_coding
ENSG00000005022,SLC25A5,chrX,+,119468400,119468445,protein_coding
ENSG00000005059,CCDC109B,chr4,+,109560205,109560246,protein_coding
ENSG00000005073,HOXA11,chr7,-,27185223,27185232,protein_coding
ENSG00000005075,POLR2J,chr7,-,102478907,102478922,protein_coding
ENSG00000005100,DHX33,chr17,-,5469060,5468969,protein_coding
ENSG00000005102,MEOX1,chr17,-,43661954,43661922,protein_coding
ENSG00000005108,THSD7A,chr7,-,11832198,11832198,protein_coding
ENSG00000005156,LIG3,chr17,+,34980494,34980512,protein_coding
ENSG00000005175,RPAP3,chr12,-,47706061,47706006,protein_coding
ENSG00000005187,ACSM3,chr16,+,20610243,20764014,protein_coding
ENSG00000005189,AC004381.6,chr16,+,20806429,20806527,protein_coding
ENSG00000005194,CIAPIN1,chr16,-,57447528,57447385,protein_coding
ENSG00000005238,FAM214B,chr9,-,35116341,35115850,protein_coding
ENSG00000005243,COPZ2,chr17,-,48038030,48037797,protein_coding
ENSG00000005249,PRKAR2B,chr7,+,107044649,107044706,protein_coding
ENSG00000005302,MSL3,chrX,+,11758159,11758237,protein_coding
ENSG00000005339,CREBBP,chr16,-,3880726,3880698,protein_coding
ENSG00000005379,BZRAP1,chr17,-,58328760,58328795,protein_coding
ENSG00000005381,MPO,chr17,-,58280935,58280935,protein_coding
ENSG00000005421,PON1,chr7,-,95324707,95324532,protein_coding
ENSG00000005436,GCFC2,chr2,-,75710989,75710915,protein_coding
ENSG00000005448,WDR54,chr2,+,74421678,74421730,protein_coding
ENSG00000005469,CROT,chr7,+,87345681,87345664,protein_coding
ENSG00000005471,ABCB4,chr7,-,87480435,87475680,protein_coding
ENSG00000005483,KMT2E,chr7,+,105014179,105014205,protein_coding
ENSG00000005486,RHBDD2,chr7,+,75842602,75879034,protein_coding
ENSG00000005513,SOX8,chr16,+,981808,981770,protein_coding
ENSG00000005700,IBTK,chr6,-,82247754,82247744,protein_coding
ENSG00000005801,ZNF195,chr11,-,3379222,3379139,protein_coding
ENSG00000005810,MYCBP2,chr13,-,77327050,77327086,protein_coding
ENSG00000005812,FBXL3,chr13,-,77027195,77027159,protein_coding
ENSG00000005844,ITGAL,chr16,+,30472658,30472751,protein_coding
ENSG00000005882,PDK2,chr17,+,50094737,50095352,protein_coding
ENSG00000005884,ITGA3,chr17,+,50055968,50056111,protein_coding
ENSG00000005889,ZFX,chrX,+,24149173,24149729,protein_coding
ENSG00000005893,LAMP2,chrX,-,120469365,120469296,protein_coding
ENSG00000005961,ITGA2B,chr17,-,44389505,44389505,protein_coding
ENSG00000005981,ASB4,chr7,+,95478444,95485943,protein_coding
ENSG00000006007,GDE1,chr16,-,19522145,19522098,protein_coding
ENSG00000006015,C19orf60,chr19,+,18588685,18588798,protein_coding
ENSG00000006016,CRLF1,chr19,-,18607741,18606799,protein_coding
ENSG00000006025,OSBPL7,chr17,-,47821834,47821794,protein_coding
ENSG00000006042,TMEM98,chr17,+,32927910,32928204,protein_coding
ENSG00000006047,YBX2,chr17,-,7294615,7294636,protein_coding
ENSG00000006059,KRT33A,chr17,-,41350812,41350828,protein_coding
ENSG00000006062,MAP3K14,chr17,-,45317040,45317017,protein_coding
ENSG00000006071,ABCC8,chr11,-,17476845,17476845,protein_coding
ENSG00000006116,CACNG3,chr16,+,24255553,24255591,protein_coding
ENSG00000006118,TMEM132A,chr11,+,60924463,60924474,protein_coding
ENSG00000006125,AP2B1,chr17,+,35578046,35587322,protein_coding
ENSG00000006128,TAC1,chr7,+,97731908,97732086,protein_coding
ENSG00000006194,ZNF263,chr16,+,3263800,3283491,protein_coding
ENSG00000006210,CX3CL1,chr16,+,57372458,57372491,protein_coding
ENSG00000006282,SPATA20,chr17,+,50543058,50547174,protein_coding
ENSG00000006283,CACNA1G,chr17,+,50561068,50560715,protein_coding
ENSG00000006327,TNFRSF12A,chr16,+,3018445,3020368,protein_coding
ENSG00000006377,DLX6,chr7,+,97005548,97005869,protein_coding
ENSG00000006432,MAP3K9,chr14,-,70809534,70809513,protein_coding
ENSG00000006451,RALA,chr7,+,39623483,39623572,protein_coding
ENSG00000006453,BAIAP2L1,chr7,-,98401068,98401090,protein_coding
ENSG00000006459,KDM7A,chr7,-,140177035,140176983,protein_coding
ENSG00000006468,ETV1,chr7,-,13991425,13989666,protein_coding
ENSG00000006530,AGK,chr7,+,141551189,141551410,protein_coding
ENSG00000006534,ALDH3B1,chr11,+,68008578,68010327,protein_coding
ENSG00000006555,TTC22,chr1,-,54801267,54801310,protein_coding
ENSG00000006576,PHTF2,chr7,+,77798792,77798878,protein_coding
ENSG00000006606,CCL26,chr7,-,75789896,75772211,protein_coding
ENSG00000006607,FARP2,chr2,+,241356243,241356285,protein_coding
ENSG00000006611,USH1C,chr11,-,17544416,17544379,protein_coding
ENSG00000006625,GGCT,chr7,-,30504844,30504829,protein_coding
ENSG00000006634,DBF4,chr7,+,87876216,87876493,protein_coding
ENSG00000006638,TBXA2R,chr19,-,3606840,3606861,protein_coding
ENSG00000006652,IFRD1,chr7,+,112422968,112450460,protein_coding
ENSG00000006659,LGALS14,chr19,+,39704306,39704483,protein_coding
ENSG00000006695,COX10,chr17,+,14069496,14069523,protein_coding
ENSG00000006704,GTF2IRD1,chr7,+,74453790,74453906,protein_coding
ENSG00000006712,PAF1,chr19,-,39391195,39391092,protein_coding
ENSG00000006715,VPS41,chr7,-,38932394,38909191,protein_coding
ENSG00000006740,ARHGAP44,chr17,+,12789539,12789498,protein_coding
ENSG00000006744,ELAC2,chr17,-,13018187,13018027,protein_coding
ENSG00000006747,SCIN,chr7,+,12570577,12570721,protein_coding
ENSG00000006756,ARSD,chrX,-,2929351,2929339,protein_coding
ENSG00000006757,PNPLA4,chrX,-,7927739,7927413,protein_coding
ENSG00000006788,MYH13,chr17,-,10373130,10373005,protein_coding
ENSG00000006831,ADIPOR2,chr12,+,1688574,1691070,protein_coding
ENSG00000006837,CDKL3,chr5,-,134371047,134371043,protein_coding
ENSG00000007001,UPP2,chr2,+,157876702,157876584,protein_coding
ENSG00000007038,PRSS21,chr16,+,2817180,2817237,protein_coding
ENSG00000007047,MARK4,chr19,+,45079288,45251281,protein_coding
ENSG00000007062,PROM1,chr4,-,16084378,16084023,protein_coding
ENSG00000007080,CCDC124,chr19,+,17933016,17933017,protein_coding
ENSG00000007129,CEACAM21,chr19,+,41549518,41549518,protein_coding
ENSG00000007168,PAFAH1B1,chr17,+,2593210,2593654,protein_coding
ENSG00000007171,NOS2,chr17,-,27800499,27800527,protein_coding
ENSG00000007174,DNAH9,chr17,+,11598431,11598471,protein_coding
ENSG00000007202,KIAA0100,chr17,-,28645454,28645156,protein_coding
ENSG00000007216,SLC13A2,chr17,+,28473293,28473644,protein_coding
ENSG00000007237,GAS7,chr17,-,10198551,10198606,protein_coding
ENSG00000007255,TRAPPC6A,chr19,-,45178237,45178237,protein_coding
ENSG00000007264,MATK,chr19,-,3802129,3786309,protein_coding
ENSG00000007306,CEACAM7,chr19,-,41706976,41688270,protein_coding
ENSG00000007312,CD79B,chr17,-,63932354,63932331,protein_coding
ENSG00000007314,SCN4A,chr17,-,63972918,63961476,protein_coding
ENSG00000007341,ST7L,chr1,-,112620825,112619125,protein_coding
ENSG00000007350,TKTL1,chrX,+,154295671,154295795,protein_coding
ENSG00000007372,PAX6,chr11,-,31817961,31811121,protein_coding
ENSG00000007376,RPUSD1,chr16,-,788397,788340,protein_coding
ENSG00000007384,RHBDF1,chr16,-,76355,72629,protein_coding
ENSG00000007392,LUC7L,chr16,-,229463,229416,protein_coding
ENSG00000007402,CACNA2D2,chr3,-,50504244,50503634,protein_coding
ENSG00000007516,BAIAP3,chr16,+,1333601,1333645,protein_coding
ENSG00000007520,TSR3,chr16,-,1351911,1351872,protein_coding
ENSG00000007541,PIGQ,chr16,+,566995,569981,protein_coding
ENSG00000007545,CRAMP1,chr16,+,1612325,1612387,protein_coding
ENSG00000007866,TEAD3,chr6,-,35497076,35497074,protein_coding
ENSG00000007908,SELE,chr1,-,169764705,169734079,protein_coding
ENSG00000007923,DNAJC11,chr1,-,6701924,6701806,protein_coding
ENSG00000007933,FMO3,chr1,+,171090877,171090905,protein_coding
ENSG00000007944,MYLIP,chr6,+,16129125,16129086,protein_coding
ENSG00000007952,NOX1,chrX,-,100874345,100874300,protein_coding
ENSG00000007968,E2F2,chr1,-,23531220,23531214,protein_coding
ENSG00000008018,PSMB1,chr6,-,170553341,170553299,protein_coding
ENSG00000008056,SYN1,chrX,-,47619853,47619857,protein_coding
ENSG00000008083,JARID2,chr6,+,15246296,15246071,protein_coding
ENSG00000008086,CDKL5,chrX,+,18425583,18425608,protein_coding
ENSG00000008118,CAMK1G,chr1,+,209583717,209583717,protein_coding
ENSG00000008128,CDK11A,chr1,-,1724324,1724334,protein_coding
ENSG00000008130,NADK,chr1,-,1780457,1778449,protein_coding
ENSG00000008196,TFAP2B,chr6,+,50818723,50818894,protein_coding
ENSG00000008197,TFAP2D,chr6,+,50713828,50713828,protein_coding
ENSG00000008226,DLEC1,chr3,+,38039205,38039208,protein_coding
ENSG00000008256,CYTH3,chr7,-,6272644,6272610,protein_coding
ENSG00000008277,ADAM22,chr7,+,87934143,87934251,protein_coding
ENSG00000008282,SYPL1,chr7,-,106112576,106112307,protein_coding
ENSG00000008283,CYB561,chr17,-,63446378,63446306,protein_coding
ENSG00000008294,SPAG9,chr17,-,51120865,51120865,protein_coding
ENSG00000008300,CELSR3,chr3,-,48662915,48662886,protein_coding
ENSG00000008311,AASS,chr7,-,122144280,122144249,protein_coding
ENSG00000008323,PLEKHG6,chr12,+,6310436,6310682,protein_coding
ENSG00000008324,SS18L2,chr3,+,42581840,42590860,protein_coding
ENSG00000008382,MPND,chr19,+,4343527,4343562,protein_coding
ENSG00000008394,MGST1,chr12,+,16347142,16347654,protein_coding
ENSG00000008405,CRY1,chr12,-,107093829,107093549,protein_coding
ENSG00000008438,PGLYRP1,chr19,-,46023065,46023053,protein_coding
ENSG00000008441,NFIX,chr19,+,12995608,12995487,protein_coding
ENSG00000008513,ST3GAL1,chr8,-,133571940,133571887,protein_coding
ENSG00000008516,MMP25,chr16,+,3046681,3046561,protein_coding
ENSG00000008517,IL32,chr16,+,3065297,3065640,protein_coding
ENSG00000008710,PKD1,chr16,-,2135898,2135898,protein_coding
ENSG00000008735,MAPK8IP2,chr22,+,50600685,50600795,protein_coding
ENSG00000008838,MED24,chr17,-,40061215,40054408,protein_coding
ENSG00000008853,RHOBTB2,chr8,+,22987417,22999548,protein_coding
ENSG00000008869,HEATR5B,chr2,-,37084342,37084326,protein_coding
ENSG00000008952,SEC62,chr3,+,169966635,169966811,protein_coding
ENSG00000008988,RPS20,chr8,-,56074581,56074506,protein_coding
ENSG00000009307,CSDE1,chr1,-,114758676,114757983,protein_coding
ENSG00000009335,UBE3C,chr7,+,157138913,157138949,protein_coding
ENSG00000009413,REV3L,chr6,-,111483715,111483167,protein_coding
ENSG00000009694,TENM1,chrX,-,124963817,124963777,protein_coding
ENSG00000009709,PAX7,chr1,+,18631006,18630857,protein_coding
ENSG00000009724,MASP2,chr1,-,11047233,11047239,protein_coding
ENSG00000009765,IYD,chr6,+,150368892,150369012,protein_coding
ENSG00000009780,FAM76A,chr1,+,27725979,27725984,protein_coding
ENSG00000009790,TRAF3IP3,chr1,+,209756032,209756108,protein_coding
ENSG00000009830,POMT2,chr14,-,77320884,77320876,protein_coding
ENSG00000009844,VTA1,chr6,+,142147162,142147263,protein_coding
ENSG00000009950,MLXIPL,chr7,-,73624543,73624522,protein_coding
ENSG00000009954,BAZ1B,chr7,-,73522278,73522240,protein_coding
ENSG00000010017,RANBP9,chr6,-,13711564,13711835,protein_coding
ENSG00000010030,ETV7,chr6,-,36387800,36387667,protein_coding
ENSG00000010072,SPRTN,chr1,+,231337104,231338293,protein_coding
ENSG00000010165,METTL13,chr1,+,171781664,171781674,protein_coding
ENSG00000010219,DYRK4,chr12,+,4562204,4604951,protein_coding
ENSG00000010244,ZNF207,chr17,+,32350117,32350157,protein_coding
ENSG00000010256,UQCRC1,chr3,-,48610976,48609646,protein_coding
ENSG00000010270,STARD3NL,chr7,+,38178222,38178372,protein_coding
ENSG00000010278,CD9,chr12,+,6199715,6200400,protein_coding
ENSG00000010282,HHATL,chr3,-,42702827,42702671,protein_coding
ENSG00000010292,NCAPD2,chr12,+,6493356,6494102,protein_coding
ENSG00000010295,IFFO1,chr12,-,6556083,6556042,protein_coding
ENSG00000010310,GIPR,chr19,+,45668244,45668221,protein_coding
ENSG00000010318,PHF7,chr3,+,52410561,52410660,protein_coding
ENSG00000010319,SEMA3G,chr3,-,52445085,52445103,protein_coding
ENSG00000010322,NISCH,chr3,+,52455118,52455630,protein_coding
ENSG00000010327,STAB1,chr3,+,52495338,52495338,protein_coding
ENSG00000010361,FUZ,chr19,-,49817376,49813277,protein_coding
ENSG00000010379,SLC6A13,chr12,-,262873,262836,protein_coding
ENSG00000010404,IDS,chrX,-,149521096,149505306,protein_coding
ENSG00000010438,PRSS3,chr9,+,33750466,33750679,protein_coding
ENSG00000010539,ZNF200,chr16,-,3236221,3235158,protein_coding
ENSG00000010610,CD4,chr12,+,6786858,6789540,protein_coding
ENSG00000010626,LRRC23,chr12,+,6873569,6904822,protein_coding
ENSG00000010671,BTK,chrX,-,101390796,101386191,protein_coding
ENSG00000010704,HFE,chr6,+,26087281,26087429,protein_coding
ENSG00000010803,SCMH1,chr1,-,41242154,41242138,protein_coding
ENSG00000010810,FYN,chr6,-,111873452,111873452,protein_coding
ENSG00000010818,HIVEP2,chr6,-,142945201,142945176,protein_coding
ENSG00000010932,FMO1,chr1,+,171248471,171248520,protein_coding
ENSG00000011007,TCEB3,chr1,+,23743155,23743471,protein_coding
ENSG00000011009,LYPLA2,chr1,+,23790970,23791185,protein_coding
ENSG00000011021,CLCN6,chr1,+,11806096,11806241,protein_coding
ENSG00000011028,MRC2,chr17,+,62627401,62627673,protein_coding
ENSG00000011083,SLC6A7,chr5,+,150189957,150190065,protein_coding
ENSG00000011105,TSPAN9,chr12,+,3077355,3077379,protein_coding
ENSG00000011114,BTBD7,chr14,-,93333092,93333036,protein_coding
ENSG00000011132,APBA3,chr19,-,3761699,3761644,protein_coding
ENSG00000011143,MKS1,chr17,-,58219605,58219253,protein_coding
ENSG00000011198,ABHD5,chr3,+,43690113,43690938,protein_coding
ENSG00000011201,ANOS1,chrX,-,8732187,8732137,protein_coding
ENSG00000011243,AKAP8L,chr19,-,15419141,15418988,protein_coding
ENSG00000011258,MBTD1,chr17,-,51260163,51260043,protein_coding
ENSG00000011260,UTP18,chr17,+,51260528,51260575,protein_coding
ENSG00000011275,RNF216,chr7,-,5781739,5781646,protein_coding
ENSG00000011295,TTC19,chr17,+,15999380,15999824,protein_coding
ENSG00000011304,PTBP1,chr19,+,797075,797452,protein_coding
ENSG00000011332,DPF1,chr19,-,38229714,38229695,protein_coding
ENSG00000011347,SYT7,chr11,-,61581148,61581076,protein_coding
ENSG00000011376,LARS2,chr3,+,45388506,45388576,protein_coding
ENSG00000011405,PIK3C2A,chr11,-,17207983,17207964,protein_coding
ENSG00000011422,PLAUR,chr19,-,43670547,43670169,protein_coding
ENSG00000011426,ANLN,chr7,+,36389806,36389862,protein_coding
ENSG00000011451,WIZ,chr19,-,15449951,15432685,protein_coding
ENSG00000011454,RABGAP1,chr9,+,122940833,122941020,protein_coding
ENSG00000011465,DCN,chr12,-,91183123,91182817,protein_coding
ENSG00000011478,QPCTL,chr19,+,45692483,45692674,protein_coding
ENSG00000011485,PPP5C,chr19,+,46346994,46347087,protein_coding
ENSG00000011523,CEP68,chr2,+,65056366,65056446,protein_coding
ENSG00000011566,MAP4K3,chr2,-,39437312,39437276,protein_coding
ENSG00000011590,ZBTB32,chr19,+,35704527,35713426,protein_coding
ENSG00000011600,TYROBP,chr19,-,35908295,35908295,protein_coding
ENSG00000011638,TMEM159,chr16,+,21158377,21158679,protein_coding
ENSG00000011677,GABRA3,chrX,-,152451358,152451280,protein_coding
ENSG00000012048,BRCA1,chr17,-,43170245,43125364,protein_coding
ENSG00000012061,ERCC1,chr19,-,45478828,45423908,protein_coding
ENSG00000012124,CD22,chr19,+,35319261,35329187,protein_coding
ENSG00000012171,SEMA3B,chr3,+,50267558,50269171,protein_coding
ENSG00000012174,MBTPS2,chrX,+,21839636,21839629,protein_coding
ENSG00000012211,PRICKLE3,chrX,-,49186528,49186373,protein_coding
ENSG00000012223,LTF,chr3,-,46485234,46464905,protein_coding
ENSG00000012232,EXTL3,chr8,+,28600469,28701596,protein_coding
ENSG00000012504,NR1H4,chr12,+,100473708,100473866,protein_coding
ENSG00000012660,ELOVL5,chr6,-,53349179,53348950,protein_coding
ENSG00000012779,ALOX5,chr10,+,45374176,45374216,protein_coding
ENSG00000012817,KDM5D,chrY,-,19744939,19744726,protein_coding
ENSG00000012822,CALCOCO1,chr12,-,53727745,53727446,protein_coding
ENSG00000012963,UBR7,chr14,+,93207056,93207270,protein_coding
ENSG00000012983,MAP4K5,chr14,-,50561126,50532569,protein_coding
ENSG00000013016,EHD3,chr2,+,31234337,31234152,protein_coding
ENSG00000013275,PSMC4,chr19,+,39971005,39971165,protein_coding
ENSG00000013288,MAN2B2,chr4,+,6575175,6575190,protein_coding
ENSG00000013293,SLC7A14,chr3,-,170586074,170586008,protein_coding
ENSG00000013297,CLDN11,chr3,+,170418865,170418868,protein_coding
ENSG00000013306,SLC25A39,chr17,-,44324870,44324823,protein_coding
ENSG00000013364,MVP,chr16,+,29820394,29820473,protein_coding
ENSG00000013374,NUB1,chr7,+,151341699,151341812,protein_coding
ENSG00000013375,PGM3,chr6,-,83193936,83193257,protein_coding
ENSG00000013392,RWDD2A,chr6,+,83193379,83193357,protein_coding
ENSG00000013441,CLK1,chr2,-,200864744,200864658,protein_coding
ENSG00000013503,POLR3B,chr12,+,106357658,106357806,protein_coding
ENSG00000013523,ANGEL1,chr14,-,76826246,76812861,protein_coding
ENSG00000013561,RNF14,chr5,+,141958328,141969105,protein_coding
ENSG00000013563,DNASE1L1,chrX,-,154412112,154409205,protein_coding
ENSG00000013573,DDX11,chr12,+,31073845,31073863,protein_coding
ENSG00000013583,HEBP1,chr12,-,13000273,13000262,protein_coding
ENSG00000013588,GPRC5A,chr12,+,12890782,12891565,protein_coding
ENSG00000013619,MAMLD1,chrX,+,150361422,150363278,protein_coding
ENSG00000013725,CD6,chr11,+,60971680,60971736,protein_coding
ENSG00000013810,TACC3,chr4,+,1721490,1721522,protein_coding
ENSG00000014123,UFL1,chr6,+,96521595,96521839,protein_coding
ENSG00000014138,POLA2,chr11,+,65261762,65261962,protein_coding
ENSG00000014164,ZC3H3,chr8,-,143541453,143541437,protein_coding
ENSG00000014216,CAPN1,chr11,+,65180566,65181928,protein_coding
ENSG00000014257,ACPP,chr3,+,132317367,132317407,protein_coding
ENSG00000014641,MDH1,chr2,+,63588609,63588963,protein_coding
ENSG00000014824,SLC30A9,chr4,+,41990472,41990530,protein_coding
ENSG00000014914,MTMR11,chr1,-,149936898,149936879,protein_coding
ENSG00000014919,COX15,chr10,-,99732100,99732095,protein_coding
ENSG00000015133,CCDC88C,chr14,-,91417844,91417814,protein_coding
ENSG00000015153,YAF2,chr12,-,42238349,42238245,protein_coding
ENSG00000015171,ZMYND11,chr10,+,134465,135455,protein_coding
ENSG00000015285,WAS,chrX,+,48676596,48683818,protein_coding
ENSG00000015413,DPEP1,chr16,+,89613308,89630271,protein_coding
ENSG00000015475,BID,chr22,-,17774770,17774469,protein_coding
ENSG00000015479,MATR3,chr5,+,139293648,139293743,protein_coding
ENSG00000015520,NPC1L1,chr7,-,44541315,44541301,protein_coding
ENSG00000015532,XYLT2,chr17,+,50346092,50346126,protein_coding
ENSG00000015568,RGPD5,chr2,+,109792758,109794305,protein_coding
ENSG00000015592,STMN4,chr8,-,27258420,27258404,protein_coding
ENSG00000015676,NUDCD3,chr7,-,44490880,44490658,protein_coding
ENSG00000016082,ISL1,chr5,+,51383391,51383448,protein_coding
ENSG00000016391,CHDH,chr3,-,53846390,53846419,protein_coding
ENSG00000016402,IL20RA,chr6,-,137045180,137044724,protein_coding
ENSG00000016490,CLCA1,chr1,+,86468368,86468927,protein_coding
ENSG00000016602,CLCA4,chr1,+,86547078,86547078,protein_coding
ENSG00000016864,GLT8D1,chr3,-,52706083,52705791,protein_coding
ENSG00000017260,ATP2C1,chr3,+,130850595,130894205,protein_coding
ENSG00000017427,IGF1,chr12,-,102480645,102480563,protein_coding
ENSG00000017483,SLC38A5,chrX,-,48470256,48469413,protein_coding
ENSG00000017797,RALBP1,chr18,+,9475009,9475516,protein_coding
ENSG00000018189,RUFY3,chr4,+,70704204,70721986,protein_coding
ENSG00000018236,CNTN1,chr12,+,40692442,40692457,protein_coding
ENSG00000018280,SLC11A1,chr2,+,218382029,218382273,protein_coding
ENSG00000018408,WWTR1,chr3,-,149736714,149658025,protein_coding
ENSG00000018510,AGPS,chr2,+,177392644,177392773,protein_coding
ENSG00000018610,CXorf56,chrX,-,119565408,119565384,protein_coding
ENSG00000018625,ATP1A2,chr1,+,160115759,160115759,protein_coding
ENSG00000018699,TTC27,chr2,+,32628032,32628096,protein_coding
ENSG00000018869,ZNF582,chr19,-,56393545,56393534,protein_coding
ENSG00000019102,VSIG2,chr11,-,124752238,124752193,protein_coding
ENSG00000019144,PHLDB1,chr11,+,118606440,118607615,protein_coding
ENSG00000019169,MARCO,chr2,+,118942166,118942322,protein_coding
ENSG00000019186,CYP24A1,chr20,-,54173973,54173986,protein_coding
ENSG00000019485,PRDM11,chr11,+,45095806,45146639,protein_coding
ENSG00000019505,SYT13,chr11,-,45286319,45286333,protein_coding
ENSG00000019549,SNAI2,chr8,-,48921740,48921429,protein_coding
ENSG00000019582,CD74,chr5,-,150412929,150412751,protein_coding
ENSG00000019991,HGF,chr7,-,81770438,81770047,protein_coding
ENSG00000019995,ZRANB1,chr10,+,124942123,124942123,protein_coding
ENSG00000020129,NCDN,chr1,+,35557473,35557820,protein_coding
ENSG00000020181,ADGRA2,chr8,+,37784191,37796883,protein_coding
ENSG00000020256,ZFP64,chr20,-,52204308,52191778,protein_coding
ENSG00000020426,MNAT1,chr14,+,60734742,60734772,protein_coding
ENSG00000020577,SAMD4A,chr14,+,54567097,54567165,protein_coding
ENSG00000020633,RUNX3,chr1,-,24965121,24930276,protein_coding
ENSG00000020922,MRE11A,chr11,-,94493908,94493834,protein_coding
ENSG00000021300,PLEKHB1,chr11,+,73646178,73647655,protein_coding
